شیت اول
فهرست بهای واحد پایه رشته ابنیه سال 1404				
شماره	فصل	شرح	واحد	"بهای واحد
(ریال)"
010101	01	کندن و خارج کردن بوته و ریشه‌های مربوط در زمین‌های پوشیده از آن‌ها.	مترمربع	2,890
010102	01	کندن و یا بریدن و در صورت لزوم ریشه کن کردن هرنوع نهال، در صورتی که محیط بن آن کمتر از 15 سانتی‌متر باشد، به ازای هر 5 سانتی‌متر محیط بن (کسر 5 سانتی‌متر به تناسب محاسبه می‌شود) و حمل آن به خارج کارگاه.	اصله	101,000
010121	01	جابجایی درخت یا نهال در صورتی که محیط بن آن تا 40 سانتی‌متر باشد	اصله	28,586,000
010122	01	اضافه‌بها به ردیف 010121، به ازای هر سانتی‌متر که به محیط بن درخت اضافه شود، مازاد بر 40 سانتی‌متر تا 100 سانتی‌متر	اصله	1,524,000
010123	01	جابجایی درخت در صورتی که محیط بن آن 100 سانتی‌متر باشد	اصله	118,920,000
010124	01	اضافه‌بها به ردیف 010123، به ازای هر سانتی‌متر که به محیط بن درخت اضافه شود مازاد بر 100 سانتی‌متر تا 120 سانتی‌متر	اصله	2,628,000
010125	01	جابجایی درخت در صورتی که محیط بن آن 120 سانتی‌متر باشد	اصله	171,519,000
010126	01	اضافه‌بها به ردیف 010125، به ازای هر سانتی‌متر که به محیط بن درخت اضافه شود مازاد   بر 120 سانتی‌متر تا 150 سانتی‌متر.	اصله	3,584,000
010127	01	جابجایی درخت در صورتی که محیط بن آن 150 سانتی‌متر و بیشتر باشد	اصله	279,767,000
010201	01	سوراخ‌کردن سطوح بنایی، به سطح مقطع تا 0.005 مترمربع به انضمام بریدن میلگردها در صورت لزوم	مترطول	2,093,000
010202	01	سوراخ کردن سطوح بنایی، به سطح مقطع بیش از  0.005 تا 0.1 مترمربع به انضمام بریدن میلگردها در صورت لزوم	مترطول	4,186,000
010203	01	سوراخ کردن سطوح بنایی، به سطح مقطع بیش از 0.1 تا   0.3 مترمربع به انضمام بریدن میلگردها در صورت لزوم.	مترطول	8,373,000
010204	01	سوراخ کردن سطوح بتنی و بتن مسلح، به سطح مقطع   تا 0.005 مترمربع به انضمام بریدن میلگردها در صورت لزوم.	مترطول	4,925,000
010205	01	سوراخ کردن سطوح بتنی و بتن مسلح، به سطح مقطع بیش از 0.005 تا 0.05   مترمربع به انضمام بریدن میلگردها در صورت لزوم.	مترطول	11,962,000
010206	01	سوراخ کردن سطوح بتنی و بتن مسلح، به   سطح مقطع بیش از 0.05 تا 0.15 مترمربع    به انضمام بریدن میلگردها در صورت لزوم.	مترطول	16,747,000
010207	01	ایجاد شیار با سطح مقطع تا 20 سانتی‌مترمربع، در سطوح بنایی	مترطول	423,000
010208	01	ایجاد شیار با سطح مقطع بیش از 20 تا 40 سانتی‌مترمربع، در سطوح بنایی	مترطول	846,000
010209	01	اضافه‌بها به  ردیف ٠١٠٢٠٨، به ازای هر یک سانتی‌مترمربع که به سطح مقطع اضافه شود تا سطح مقطع حداکثر 100 سانتی‌مترمربع	مترطول	25,400
010210	01	ایجاد شیار با سطح مقطع تا 20 سانتی‌مترمربع، در سطوح بتنی	مترطول	2,114,000
010211	01	ایجاد  شیار با سطح مقطع بیش از 20 تا 40 سانتی‌مترمربع، در سطوح بتنی.	مترطول	2,820,000
010212	01	اضافه‌بها به ردیف ٠١٠٢١١، به ازای هر یک سانتی‌مترمربع که به سطح مقطع اضافه شود، تا سطح مقطع حداکثر١٠٠ سانتی‌مترمربع	مترطول	112,500
010220	01	سوراخ کردن سطوح بتنی و بتن مسلح، به قطر تا 4 سانتی‌متر با استفاده از ابزار دورانی‌چکشی	مترطول	5,799,000
010230	01	سوراخ کردن سطوح بتنی و بتن مسلح، به قطر تا 15 سانتی‌متر به روش مغزه گیری	مترطول	16,398,000
010301	01	تخریب کلی ساختمان‌های با مصالح خشتی و چینه‌ای	مترمربع	3,065,000
010302	01	تخریب کلی ساختمان‌های با مصالح بنایی غیر از خشتی و چینه‌ای	مترمربع	3,623,000
010401	01	تخریب بنایی‌های با مصالح خشتی و چینه‌ای	مترمکعب	1,129,000
010402	01	تخریب بنایی‌های با مصالح غیر از خشتی و چینه‌ای که با ملات ماسه سیمان، یا باتارد چیده شده باشد	مترمکعب	1,757,000
010403	01	تخریب بنایی‌های با مصالح غیر از خشتی و چینه‌ای که با ملات گل آهک، ماسه آهک، یا گچ و خاک چیده شده باشد	مترمکعب	1,478,000
010404	01	تخریب سقف آجری با تیرآهن یا بدون تیرآهن، به هرضخامت، با برداشتن تیرآهن‌های مربوط	مترمکعب	1,416,000
010405	01	تخریب بتن غیرمسلح	مترمکعب	15,775,000
010406	01	تخریب بتن مسلح، به انضمام بریدن میلگردها	مترمکعب	22,928,000
010407	01	تخریب شفته با هر عیار	مترمکعب	3,432,000
010408	01	تفکیک، دسته بندی و یا چیدن آجرها، بلوک‌ها، سنگها و مصالح مشابه حاصل از تخریب یا برچیدن	مترمکعب	2,093,000
010409	01	تخریب سقف تیرچه و بلوک با هر نوع مصالح و به هر ضخامت به انضمام بریدن تیرچه و میلگردها	مترمکعب	11,468,000
010410	01	برچیدن سنگ لاشه یا قلوه که به صورت خشکه‌چینی اجرا شده باشد	مترمکعب	1,469,000
010412	01	تخریب  انواع دیوار پانلی مشبک عایق‌دار و دیوار پانلی ماندگار.	مترمکعب	1,753,000
010501	01	برچیدن پله موزاییکی یا سنگی ریشه‌دار، به هر عرض و ارتفاع	مترطول	1,046,000
010502	01	برچیدن فرش کف آجری، موزاییکی یا کفپوش‌های بتنی همراه با ملات مربوط	مترمربع	350,500
010503	01	برچیدن هر نوع سنگ پلاک از کلیه سطوح اجرا شده و تراشیدن ملات مربوط در صورت لزوم	مترمربع	613,500
010504	01	برچیدن فرش کف از سنگهای لاشه ریشه‌دار یا قلوه، همراه با ملات مربوط	مترمربع	538,500
010505	01	برچیدن کاشی سرامیکی و تراشیدن چسباننده مربوط در صورت لزوم.	مترمربع	573,500
010506	01	تراشیدن کاه گل پشت بام به هر ضخامت.	مترمربع	194,500
010507	01	تراشیدن اندود کاه‌گل از روی کلیه سطوح همراه با اندود گچ روی آن در صورت وجود	مترمربع	209,500
010508	01	تراشیدن اندود گچ و خاک از روی کلیه سطوح همراه با اندود گچ روی آن در صورت وجود	مترمربع	418,500
010509	01	تراشیدن اندودهای ماسه سیمان، باتارد، یا ماسه آهک از روی کلیه سطوح، به همراه اندود رویه آن در صورت وجود	مترمربع	1,196,000
010510	01	خارج کردن بندهای موجود با هر نوع مصالح و پاک کردن درزها	مترطول	13,300
010512	01	برچیدن سقف‌های متشکل از تیر چوبی، حصیر، توفال و اندود روی آن بطور کامل	مترمربع	2,940,000
010513	01	برچیدن  هر نوع سفال بام.	مترمربع	198,500
