ElementId	UniqueId	Category	Family	Type	Mark	ScheduleMark	MappingMark	Prefix	MemberId	Span	Zone	Role	Position	PositionIndex	MarkTokens	HostElementId	HostUniqueId	HostCategory	HostFamily	HostType	HostMark	HostLevel	Diameter_mm	SteelType	Length_mm	Quantity	RebarShape	RebarShapeId	HookStart	HookEnd	IsStirrup	IsLongitudinal	IsTransverse	IsMain	IsAdditional	IsStarter	IsTop	IsBottom	IsThermal	Width_mm	Height_mm	MemberLength_mm	HostWidth	HostHeight	HostLength	Volume_m3	Area_m2	HostVolume_m3	HostArea_m2	Material	MaterialClass	HostMaterial	StructuralContext
465778	401c6e31-15bc-431d-9e40-6b618ec0d6b3-00071b72	Rebar		Φ18 : Shape M_02		LG(1-2)-T	LG(1-2)-T	LG		2-Jan			TOP		LG(1|2)|T	428753	2fc7f7fd-7a24-463a-8b1c-01f5d79af46b-00068ad1	Structural Foundations		WF_A_1800x900	"L(1-2) 
L(1-2)"		18	Unknown	13748.6			130497			FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE				1800.00 mm		13471.04 mm			21.8231	24.248				Rebar
467714	401c6e31-15bc-431d-9e40-6b618ec0d6b3-00072302	Rebar		Φ14 : Shape M_02		TR(2-3)-T	TR(2-3)-T	TR					TOP		TR(2|3)|T	431871	7a97ca8d-cb99-4ff2-8bd1-c8c8f4d7b596-000696ff	Structural Foundations		WF_A_1800x900	L(2-3)		14	Unknown	2057.9			130497			FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE				1800.00 mm		13429.25 mm			21.7554	24.173				Rebar
467715	401c6e31-15bc-431d-9e40-6b618ec0d6b3-00072303	Rebar		Φ18 : Shape M_02		LG(2-3)-T	LG(2-3)-T	LG		3-Feb			TOP		LG(2|3)|T	431871	7a97ca8d-cb99-4ff2-8bd1-c8c8f4d7b596-000696ff	Structural Foundations		WF_A_1800x900	L(2-3)		18	Unknown	13837			130497			FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE				1800.00 mm		13429.25 mm			21.7554	24.173				Rebar
467716	401c6e31-15bc-431d-9e40-6b618ec0d6b3-00072304	Rebar		Φ14 : Shape M_02		TR(2-3)-B	TR(2-3)-B	TR					BOTTOM		TR(2|3)|B	431871	7a97ca8d-cb99-4ff2-8bd1-c8c8f4d7b596-000696ff	Structural Foundations		WF_A_1800x900	L(2-3)		14	Unknown	2057.9			130497			FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE				1800.00 mm		13429.25 mm			21.7554	24.173				Rebar
467717	401c6e31-15bc-431d-9e40-6b618ec0d6b3-00072305	Rebar		Φ18 : Shape M_02		LG(2-3)-B	LG(2-3)-B	LG		3-Feb			BOTTOM		LG(2|3)|B	431871	7a97ca8d-cb99-4ff2-8bd1-c8c8f4d7b596-000696ff	Structural Foundations		WF_A_1800x900	L(2-3)		18	Unknown	13837			130497			FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE				1800.00 mm		13429.25 mm			21.7554	24.173				Rebar
467785	401c6e31-15bc-431d-9e40-6b618ec0d6b3-00072349	Rebar		Φ14 : Shape M_02		TR(3-4)-T	TR(3-4)-T	TR					TOP		TR(3|4)|T	444129	3a474b31-f906-450e-97f4-0894d5d268ce-0006c6e1	Structural Foundations		WF_A_1800x900	L(3-4)		14	Unknown	2057.9			130497			FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE				1800.00 mm		13345.17 mm			21.6192	24.021				Rebar
467786	401c6e31-15bc-431d-9e40-6b618ec0d6b3-0007234a	Rebar		Φ18 : Shape M_02		LG(3-4)-T	LG(3-4)-T	LG		4-Mar			TOP		LG(3|4)|T	444129	3a474b31-f906-450e-97f4-0894d5d268ce-0006c6e1	Structural Foundations		WF_A_1800x900	L(3-4)		18	Unknown	13673.1			130497			FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE				1800.00 mm		13345.17 mm			21.6192	24.021				Rebar
467787	401c6e31-15bc-431d-9e40-6b618ec0d6b3-0007234b	Rebar		Φ14 : Shape M_02		TR(3-4)-B	TR(3-4)-B	TR					BOTTOM		TR(3|4)|B	444129	3a474b31-f906-450e-97f4-0894d5d268ce-0006c6e1	Structural Foundations		WF_A_1800x900	L(3-4)		14	Unknown	2057.9			130497			FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE				1800.00 mm		13345.17 mm			21.6192	24.021				Rebar
467788	401c6e31-15bc-431d-9e40-6b618ec0d6b3-0007234c	Rebar		Φ18 : Shape M_02		LG(3-4)-B	LG(3-4)-B	LG		4-Mar			BOTTOM		LG(3|4)|B	444129	3a474b31-f906-450e-97f4-0894d5d268ce-0006c6e1	Structural Foundations		WF_A_1800x900	L(3-4)		18	Unknown	13688.7			130497			FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE				1800.00 mm		13345.17 mm			21.6192	24.021				Rebar
481414	e68a9de0-8760-4211-96a4-cbdbe7536673-00075886	Rebar		Φ14 : Shape M_02		TR(4-5)-T	TR(4-5)-T	TR					TOP		TR(4|5)|T	444793	3a474b31-f906-450e-97f4-0894d5d268ce-0006c979	Structural Foundations		WF_A_1800x900	L(5-6)		14	Unknown	2057.9			130497			FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE				1800.00 mm		13297.72 mm			21.5423	23.936				Rebar
