"جدول ریزمتره سقف تیرچه بلوک - Joist Floor Schedule"","""","""","""","""","""","""","""","""","""
"Family and Type"",""Mark"",""Reference Level"",""Length"",""Count"",""Volume"",""Comments"",""Description"
""","""","""","""","""","""","""","""
"تیرچه و یونولیت222: Joist"",""JST-ST1"",""Story1"",""5697.49 mm"",""1"",""0.64 m³"","""","""
"تیرچه و یونولیت222: Joist"",""JST-ST1"",""Story1"",""5702.86 mm"",""1"",""0.64 m³"","""","""
"تیرچه و یونولیت222: Joist"",""JST-ST1"",""Story1"",""5708.24 mm"",""1"",""0.64 m³"","""","""
"تیرچه و یونولیت222: Joist"",""JST-ST1"",""Story1"",""5713.62 mm"",""1"",""0.65 m³"","""","""
"تیرچه و یونولیت222: Joist"",""JST-ST1"",""Story1"",""5718.99 mm"",""1"",""0.65 m³"","""","""
"تیرچه و یونولیت222: Joist"",""JST-ST1"",""Story1"",""5724.37 mm"",""1"",""0.65 m³"","""","""
"تیرچه و یونولیت222: Joist"",""JST-ST1"",""Story1"",""5727.63 mm"",""1"",""0.65 m³"","""","""
"تیرچه و یونولیت222: Joist"",""JST-ST1"",""Story1"",""5735.12 mm"",""1"",""0.65 m³"","""","""
"تیرچه و یونولیت222: Joist"",""JST-ST1"",""Story1"",""5740.50 mm"",""1"",""0.65 m³"","""","""
"تیرچه و یونولیت222: Joist"",""JST-ST1"",""Story1"",""5745.87 mm"",""1"",""0.65 m³"","""","""
"تیرچه و یونولیت222: Joist"",""JST-ST1"",""Story1"",""5751.25 mm"",""1"",""0.65 m³"","""","""
"تیرچه و یونولیت222: Joist"",""JST-ST1"",""Story1"",""5756.62 mm"",""1"",""0.65 m³"","""","""
"تیرچه و یونولیت222: Joist"",""JST-ST1"",""Story1"",""5762.00 mm"",""1"",""0.11 m³"","""","""
"Grand total: 13"","""","""",""74484.56 mm"",""13"",""7.88 m³"","""","""
