"جدول قالب‌بندی پی - Foundation Formwork Schedule"","""","""","""","""","""","""
"Family and Type"",""Mark"",""Length"",""Width"",""Formwork Area"
""","""","""","""","""
"Wall Foundation: WF_A_1800x900"",""L(1-2)  L(1-2)"",""13471.04 mm"",""1800.00 mm"",""24.25 m²"
"Wall Foundation: WF_A_1800x900"",""L(2-3)"",""13429.25 mm"",""1800.00 mm"",""24.17 m²"
"Wall Foundation: WF_A_1800x900"",""L(3-4)"",""13345.17 mm"",""1800.00 mm"",""24.02 m²"
"Wall Foundation: WF_A_1800x900"",""L(5-6)"",""13297.72 mm"",""1800.00 mm"",""23.94 m²"
"Wall Foundation: WF_B_2000x900"",""T(A-B)-1"",""2400.00 mm"",""2000.00 mm"",""4.32 m²"
"Wall Foundation: WF_B_2000x900"",""T(A-B)-2"",""6650.38 mm"",""2000.00 mm"",""11.97 m²"
"Wall Foundation: WF_B_2000x900"",""T(A-B)-3"",""3878.10 mm"",""2000.00 mm"",""6.98 m²"
"Wall Foundation: WF_A_1800x900"",""T(B-C)-1"",""2400.00 mm"",""1800.00 mm"",""4.32 m²"
"Wall Foundation: WF_A_1800x900"",""T(B-C)-2"",""6650.00 mm"",""1800.00 mm"",""11.97 m²"
"Wall Foundation: WF_A_1800x900"",""T(B-C)-3"",""4084.60 mm"",""1800.00 mm"",""7.35 m²"
"Wall Foundation: WF_A_1800x900"",""T(C-D)-1"",""2400.00 mm"",""1800.00 mm"",""4.32 m²"
"Wall Foundation: WF_A_1800x900"",""T(C-D)-2"",""6650.00 mm"",""1800.00 mm"",""11.97 m²"
"Wall Foundation: WF_A_1800x900"",""T(C-D)-3"",""4290.64 mm"",""1800.00 mm"",""7.72 m²"
"Grand total: 13"","""","""","""","""
